strategy,lookback,rebalance_freq,filter,top_p,floor_yuan,n_rebalances,n_trades,elapsed_s,annual_return,volatility,sharpe,max_drawdown,var_95,cvar_95,turnover
L5_weekly_none,5,weekly,none,0.5,50000000.0,52,51,3.59,-0.4924167808572548,0.34224279035285476,-1.8574703472631917,0.5715721377663154,0.03730904162187576,0.056771571521013774,1.74398966483145
L5_weekly_amount_percentile,5,weekly,amount_percentile,0.5,50000000.0,52,51,7.31,-0.4988532026510426,0.34854931496318464,-1.8546505378533327,0.5722712686775784,0.04326486835640664,0.061265825572590214,1.7392857142857148
L5_weekly_liquidity_floor,5,weekly,liquidity_floor,0.5,50000000.0,52,51,6.78,-0.4947571245303216,0.34288120317796744,-1.867074667820578,0.5679696319562754,0.037699031460043386,0.057281402501786476,1.7416376895585823
L5_weekly_amount_percentile_and_liquidity_floor,5,weekly,amount_percentile_and_liquidity_floor,0.5,50000000.0,52,51,7.52,-0.4988532026510426,0.34854931496318464,-1.8546505378533327,0.5722712686775784,0.04326486835640664,0.061265825572590214,1.7392857142857148
L20_monthly_none,20,monthly,none,0.5,50000000.0,12,12,3.58,-0.38749143580316026,0.311912099545354,-1.4544531690339608,0.4760342592885022,0.03606971406323667,0.0498385255351036,0.4058333333333333
L20_monthly_amount_percentile,20,monthly,amount_percentile,0.5,50000000.0,12,12,6.29,-0.4081377863592973,0.32205846240418373,-1.507868532930956,0.4895364909704719,0.03819369134850947,0.050209064006246334,0.4058333333333333
L20_monthly_liquidity_floor,20,monthly,liquidity_floor,0.5,50000000.0,12,12,7.01,-0.4017200308782163,0.3220359132375597,-1.4736845109758456,0.5006914484198718,0.03851258640866362,0.050774334628392224,0.4058333333333333
L20_monthly_amount_percentile_and_liquidity_floor,20,monthly,amount_percentile_and_liquidity_floor,0.5,50000000.0,12,12,6.63,-0.4081377863592973,0.32205846240418373,-1.507868532930956,0.4895364909704719,0.03819369134850947,0.050209064006246334,0.4058333333333333
L60_quarterly_none,60,quarterly,none,0.5,50000000.0,4,4,3.54,-0.0733477164985109,0.28873149739708165,-0.12812278953912104,0.3138607043891867,0.034070736826873005,0.046450660336078864,0.1337912087912088
L60_quarterly_amount_percentile,60,quarterly,amount_percentile,0.5,50000000.0,4,4,7.22,-0.09517399819404604,0.2976380225484733,-0.19804415195469105,0.3235240426904803,0.034070736826873005,0.04848087431128601,0.1337912087912088
L60_quarterly_liquidity_floor,60,quarterly,liquidity_floor,0.5,50000000.0,4,4,6.89,-0.095521511249821,0.2949647120650059,-0.20392632411396175,0.3203853882461241,0.034070736826873005,0.04816645087104757,0.1337912087912088
L60_quarterly_amount_percentile_and_liquidity_floor,60,quarterly,amount_percentile_and_liquidity_floor,0.5,50000000.0,4,4,7.23,-0.09517399819404604,0.2976380225484733,-0.19804415195469105,0.3235240426904803,0.034070736826873005,0.04848087431128601,0.1337912087912088
